id,name,default_code,product_tmpl_id/id
pp_ing_cafe,Cốt Cà Phê,ING_CAFE,ing_cafe
pp_ing_sua_tuoi,Sữa Tươi,ING_SUA_TUOI,ing_sua_tuoi
pp_ing_sua_dac,Sữa Đặc,ING_SUA_DAC,ing_sua_dac
pp_ing_cot_dua,Cốt Dừa,ING_COT_DUA,ing_cot_dua
pp_ing_duong_trang,Đường Trắng (siro),ING_DUONG_TRANG,ing_duong_trang
pp_ing_duong_den,Đường Đen (siro),ING_DUONG_DEN,ing_duong_den
pp_ing_mat_ong,Mật Ong,ING_MAT_ONG,ing_mat_ong
pp_ing_nuoc_loc,Nước Lọc,ING_NUOC_LOC,ing_nuoc_loc
pp_ing_tra_nhai,Trà Nhài (cốt),ING_TRA_NHAI,ing_tra_nhai
pp_ing_hong_tra,Hồng Trà (cốt),ING_HONG_TRA,ing_hong_tra
pp_ing_tra_mang_cau,Trà Mãng Cầu (cốt),ING_TRA_MANG_CAU,ing_tra_mang_cau
pp_ing_tra_thai_xanh,Trà Thái Xanh (cốt),ING_TRA_THAI_XANH,ing_tra_thai_xanh
pp_ing_tra_dao,Trà Đào (cốt),ING_TRA_DAO,ing_tra_dao
pp_ing_nuoc_cot_chanh,Nước Cốt Chanh,ING_NUOC_COT_CHANH,ing_nuoc_cot_chanh
pp_ing_nuoc_cot_quat,Nước Cốt Tắc,ING_NUOC_COT_QUAT,ing_nuoc_cot_quat
pp_ing_monin_bac_ha,Monin Bạc Hà,ING_MONIN_BAC_HA,ing_monin_bac_ha
pp_ing_monin_dao,Monin Đào,ING_MONIN_DAO,ing_monin_dao
pp_ing_sinh_to_xoai,Sinh Tố Xoài,ING_SINH_TO_XOAI,ing_sinh_to_xoai
pp_ing_muc_dau,Mứt Dâu,ING_MUC_DAU,ing_muc_dau
pp_ing_muc_viet_quat,Mứt Việt Quất,ING_MUC_VIET_QUAT,ing_muc_viet_quat
pp_ing_muc_dua_luoi,Mứt Dưa Lưới,ING_MUC_DUA_LUOI,ing_muc_dua_luoi
pp_ing_siro_sam_dua,Siro Sâm Dứa,ING_SIRO_SAM_DUA,ing_siro_sam_dua
pp_ing_ding_dong,Siro Ding Dong,ING_DING_DONG,ing_ding_dong
pp_ing_rich_lun,Rich Lùn,ING_RICH_LUN,ing_rich_lun
pp_ing_rich_cao,Rich Cao,ING_RICH_CAO,ing_rich_cao
pp_ing_base_kem,Base Kem,ING_BASE_KEM,ing_base_kem
pp_ing_ehot,Ehot,ING_EHOT,ing_ehot
pp_ing_rick,Rick,ING_RICK,ing_rick
pp_ing_cot_chanh_day,Cốt Chanh Dây,ING_COT_CHANH_DAY,ing_cot_chanh_day
pp_ing_sua_chua,Sữa Chua Hũ,ING_SUA_CHUA,ing_sua_chua
pp_ing_cacao_bot,Bột Cacao,ING_CACAO_BOT,ing_cacao_bot
pp_ing_bot_beo,Bột Béo,ING_BOT_BEO,ing_bot_beo
pp_ing_bot_mix,Bột Mix,ING_BOT_MIX,ing_bot_mix
pp_ing_bot_matcha,Bột Matcha,ING_BOT_MATCHA,ing_bot_matcha
pp_ing_quat_trai,Tắc (trái),ING_QUAT_TRAI,ing_quat_trai
pp_ing_cam_trai,Cam (trái),ING_CAM_TRAI,ing_cam_trai
pp_ing_dau_trai,Dâu (trái),ING_DAU_TRAI,ing_dau_trai
pp_ing_xi_muoi,Xí Muội (viên),ING_XI_MUOI,ing_xi_muoi
pp_ing_trai_vai,Vải (trái),ING_TRAI_VAI,ing_trai_vai
pp_ing_tran_chau_den_song,Trân Châu Đen (sống),ING_TRAN_CHAU_DEN_SONG,ing_tran_chau_den_song
pp_ing_tran_chau_den_chin,Trân Châu Đen (đã nấu),ING_TRAN_CHAU_DEN_CHIN,ing_tran_chau_den_chin
